EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra
1,2026-04-15,09:46:21,55 años o más,Femenino,Guatemala,Santa Catarina Pinula,Jubilado,Varias veces al mes,Aplicación de delivery,Amigos,Q25 - Q50,FutbolMix; Hot Stadium Peanuts; Caramel Goal Popcorn, DULCE ,Familiar,Q10 - Q15,Sí,Sí,Portugal,Probablemente sí,Portugal,Kylian Mbappé; Cristiano Ronaldo; Neymar Jr.,Una selección nacional,Sorteo de viajes,Sí,Edición Francia
2,2026-01-26,08:45:33,18 - 24 años,Masculino,Guatemala,Santa Catarina Pinula,Empresario,1 a 2 veces por semana,Supermercado,Solo,Q51 - Q100,ChocoKick Bites; CrunchMax BBQ,Caramelo,Familiar,Q21 - Q30,Sí,Sí,Portugal,Probablemente no,Suecia,Cristiano Ronaldo; Kylian Mbappé; Christian Pulisic,Una selección nacional,Producto gratis,Sí,Edición Brasil
3,2026-04-22,22:23:58,35 - 44 años,Masculino,Alta Verapaz,Alta Verapaz,Estudiante,Varias veces al mes,Kiosco escolar/universitario,Familia,Q51 - Q100,ChocoKick Bites; Fan Chips Jalapeño; Victory Pretzels,Picante Chapín,Familiar,Q16 - Q20,Sí,Sí,España,Probablemente sí,Portugal,Cristiano Ronaldo; Federico Valverde,Un jugador famoso,Descuento directo,No,Edición con tarjetas coleccionables
4,2026-01-28,21:58:00,25 - 34 años,Femenino,Guatemala,San Miguel Petapa,Empleado privado,3 a 5 veces por semana,Gasolinera,Solo,Q25 - Q50,Fan Chips Jalapeño; CrunchMax BBQ,Limón,Familiar,Q16 - Q20,Sí,No,Inglaterra,Probablemente no,España,Vinícius Júnior,Premios y sorteos,2x1,Sí,Edición con jugadores famosos
5,2026-03-04,12:59:08,25 - 34 años,Femenino,Guatemala,San Miguel Petapa,Estudiante,Varias veces al mes,Tienda de barrio,Amigos,Q51 - Q100,Caramel Goal Popcorn; FutbolMix,Queso,Para compartir entre 2 personas,Q16 - Q20,No,No,España,Tal vez,Qatar,Kylian Mbappé,Un jugador famoso,Tarjetas coleccionables,No,Edición Brasil
6,2026-02-05,20:39:21,18 - 24 años,Masculino,Quetzaltenango,Olintepeque,Comerciante,1 a 2 veces por semana,Tienda de barrio,Solo,Menos de Q25,CrunchMax BBQ,Jalapeño,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,Estados Unidos,Probablemente sí,Estados Unidos,Kylian Mbappé,Una selección nacional,Tarjetas coleccionables,Sí,Edición Mundial FIFA 2026
7,2026-01-20,19:19:11,35 - 44 años,Masculino,Sacatepéquez, CIUDAD VIEJA ,Empleado privado,3 a 5 veces por semana,Aplicación de delivery,Solo,Q51 - Q100,ChocoKick Bites,Dulce,Individual,Q16 - Q20,No,Sí,Francia,Tal vez,Francia,Lionel Messi,Premios y sorteos,2x1,Sí,Edición España
8,2026-03-30,15:35:48,25 - 34 años,Prefiero no indicarlo,Guatemala,Villa Nueva,Empresario,3 a 5 veces por semana,Tienda de barrio,Amigos,Q25 - Q50,Hot Stadium Peanuts; Caramel Goal Popcorn; Fan Chips Jalapeño,Chocolate,Para compartir entre 2 personas,Más de Q30,No,Sí,Nueva Zelanda,Tal vez,Portugal,Cristiano Ronaldo; Lionel Messi; Julián Álvarez,Una selección nacional,Tarjetas coleccionables,No,Edición Brasil
9,2026-01-11,08:06:15,25 - 34 años,Femenino,Chimaltenango,Chimaltenango,Profesional independiente,Todos los días,Kiosco escolar/universitario,Familia,Q25 - Q50,Caramel Goal Popcorn,Dulce,Familiar,Q10 - Q15,No,Sí,Brasil,Tal vez,Brasil,Lionel Messi; Neymar Jr.,Un jugador famoso,Sorteo de balones,No,Edición Brasil
10,2026-02-21,16:46:49,Menos de 18 años,Femenino,Guatemala,Guatemala,Otro,Varias veces al mes,Tienda de barrio,Familia,Q51 - Q100,Energy Crunch Protein; Fan Chips Jalapeño; Gol Nachos Supreme,Barbacoa,Para compartir entre 2 personas,Más de Q30,No,Sí,Portugal,Tal vez,Colombia,Cristiano Ronaldo; Rodri,Un jugador famoso,Tarjetas coleccionables,No,Edición Brasil
11,2026-04-04,19:56:16,18 - 24 años,Masculino,Suchitepéquez,Suchitepéquez,Profesional independiente,Todos los días,Otro,Familia,Menos de Q25,Gol Nachos Supreme,Queso,Individual,Q16 - Q20,Sí,No,Estados Unidos,Probablemente sí,Czechia,Neymar Jr.; Cristiano Ronaldo,Una selección nacional,2x1,Sí,Edición Inglaterra
12,2026-01-29,19:45:23,Menos de 18 años,Masculino,Quetzaltenango,Quetzaltenango,Empleado privado,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,FutbolMix,Limón,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,Argentina,Probablemente sí,Argentina,Vinícius Júnior,Un jugador famoso,Descuento directo,Sí,Edición Inglaterra
13,2026-05-05,07:34:13,25 - 34 años,Masculino,Chiquimula,Chiquimula,Empresario,3 a 5 veces por semana,Supermercado,Familia,Q101 - Q150,FutbolMix; Gol Nachos Supreme; Caramel Goal Popcorn,Queso,Tamaño fiesta o reunión,Más de Q30,No,Sí,Argentina,Tal vez,Argentina,Cristiano Ronaldo,Historias de aficionados,2x1,No,Edición Argentina
14,2026-04-28,22:27:22,25 - 34 años,Femenino,Quiché,Otro municipio,Jubilado,3 a 5 veces por semana,Otro,Amigos,Q51 - Q100,Victory Pretzels,Queso,Individual,Q16 - Q20,Sí,Sí,Argentina,Tal vez,Brasil,Cristiano Ronaldo; Neymar Jr.,Un jugador famoso,2x1,No,Edición Mundial FIFA 2026
15,2026-02-10,18:43:52,18 - 24 años,Femenino,Retalhuleu,Otro municipio,Estudiante,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,Energy Crunch Protein; CrunchMax BBQ; ChocoKick Bites,Jalapeño,Individual,Q10 - Q15,Sí,Sí,Inglaterra,Probablemente sí,Portugal,Lionel Messi; Neymar Jr.; Kylian Mbappé,Un jugador famoso,Producto gratis,Sí,Edición Inglaterra
16,2026-03-23,11:27:17,Menos de 18 años,Femenino,Sacatepéquez,Jocotenango,Estudiante,1 a 2 veces por semana,Tienda de barrio,Amigos,Q25 - Q50,ChocoKick Bites; FutbolMix,Barbacoa,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Portugal,Jude Bellingham; Cristiano Ronaldo,Premios y sorteos,Tarjetas coleccionables,Sí,Edición España
17,2026-05-08,19:46:11,18 - 24 años,Femenino,Guatemala,Guatemala,Empleado privado,Todos los días,Supermercado,Familia,Más de Q150,Hot Stadium Peanuts; Gol Nachos Supreme; FutbolMix, LIMÓN ,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,México,Tal vez,España,Rodri; Alphonso Davies; Vinícius Júnior,Historias de aficionados,2x1,Sí,Edición Francia
18,2026-05-10,21:13:38,35 - 44 años,Masculino,Guatemala,Santa Catarina Pinula,Empleado público,1 a 2 veces por semana,Kiosco escolar/universitario,Amigos,Q101 - Q150,Mundialitos Queso Picante; CrunchMax BBQ,Barbacoa,Individual,Q21 - Q30,Sí,Sí,Brasil,Probablemente sí,Brasil,Neymar Jr.; Vinícius Júnior; Lionel Messi,Humor,Sorteo de viajes,Sí,Edición con tarjetas coleccionables
19,2026-02-11,21:12:23,18 - 24 años,Femenino,Santa Rosa,Otro municipio,Comerciante,1 a 2 veces por semana,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; Energy Crunch Protein,Picante Chapín,Para compartir entre 2 personas,Más de Q30,Sí,Sí,Australia,Probablemente sí,España,Julián Álvarez; Harry Kane,Un jugador famoso,Producto gratis,Sí,Edición con jugadores famosos
